Date,Distance,Week,Distance_Waterline,Clams
9/3/20,1.189207115,1,6,0
9/3/20,1.414213562,1,4,0
9/3/20,1.56508458,1,2,0
9/3/20,1.681792831,1,0,1
9/3/20,1.77827941,1,-2,35
9/3/20,1.861209718,1,-4,0
9/3/20,1.93433642,1,-6,0
9/3/20,2,1,-8,0
9/3/20,2.059767144,1,-10,0
9/3/20,2.114742527,1,-12,0
9/10/20,1.189207115,2,11,0
9/10/20,1.414213562,2,9,0
9/10/20,1.56508458,2,7,0
9/10/20,1.681792831,2,5,0
9/10/20,1.77827941,2,3,1
9/10/20,1.861209718,2,1,15
9/10/20,1.93433642,2,-1,0
9/10/20,2,2,-3,0
9/10/20,2.059767144,2,-5,0
9/10/20,2.114742527,2,-7,0
9/10/20,1.189207115,2,11.3,0
9/10/20,1.414213562,2,9.3,0
9/10/20,1.56508458,2,7.3,0
9/10/20,1.681792831,2,5.3,0
9/10/20,1.77827941,2,3.3,1
9/10/20,1.861209718,2,1.3,16
9/10/20,1.93433642,2,-0.7,6
9/10/20,2,2,-2.7,0
9/10/20,2.059767144,2,-4.7,0
9/10/20,2.114742527,2,-6.7,0
9/17/20,1.189207115,3,3.8,0
9/17/20,1.414213562,3,1.8,0
9/17/20,1.56508458,3,-0.2,1
9/17/20,1.681792831,3,-2.2,0
9/17/20,1.77827941,3,-4.2,5
9/17/20,1.861209718,3,-6.2,0
9/17/20,1.93433642,3,-8.2,3
9/17/20,2,3,-10.2,0
9/17/20,2.059767144,3,-12.2,0
9/17/20,2.114742527,3,-14.2,0
9/17/20,1.189207115,3,1.6,0
9/17/20,1.414213562,3,-0.4,0
9/17/20,1.56508458,3,-2.4,3
9/17/20,1.681792831,3,-4.4,2
9/17/20,1.77827941,3,-6.4,0
9/17/20,1.861209718,3,-8.4,1
9/17/20,1.93433642,3,-10.4,0
9/17/20,2,3,-12.4,0
9/17/20,2.059767144,3,-14.4,0
9/17/20,2.114742527,3,-16.4,0
9/17/20,1.189207115,3,-2,0
9/17/20,1.414213562,3,-4,0
9/17/20,1.56508458,3,-6,2
9/17/20,1.681792831,3,-8,2
9/17/20,1.77827941,3,-10,2
9/17/20,1.861209718,3,-12,0
9/17/20,1.93433642,3,-14,0
9/17/20,2,3,-16,0
9/17/20,2.059767144,3,-18,0
9/17/20,2.114742527,3,-20,0
9/17/20,1.189207115,3,-1.5,0
9/17/20,1.414213562,3,-3.5,0
9/17/20,1.56508458,3,-5.5,0
9/17/20,1.681792831,3,-7.5,0
9/17/20,1.77827941,3,-9.5,0
9/17/20,1.861209718,3,-11.5,3
9/17/20,1.93433642,3,-13.5,1
9/17/20,2,3,-15.5,0
9/17/20,2.059767144,3,-17.5,0
9/17/20,2.114742527,3,-19.5,0
9/24/20,1.189207115,4,6.35,0
9/24/20,1.414213562,4,4.35,0
9/24/20,1.56508458,4,2.35,0
9/24/20,1.681792831,4,0.35,1
9/24/20,1.77827941,4,-1.65,4
9/24/20,1.861209718,4,-3.65,9
9/24/20,1.93433642,4,-5.65,0
9/24/20,2,4,-7.65,0
9/24/20,2.059767144,4,-9.65,0
9/24/20,2.114742527,4,-11.65,0
9/24/20,1.189207115,4,6.1,0
9/24/20,1.414213562,4,4.1,0
9/24/20,1.56508458,4,2.1,0
9/24/20,1.681792831,4,0.1,0
9/24/20,1.77827941,4,-1.9,14
9/24/20,1.861209718,4,-3.9,1
9/24/20,1.93433642,4,-5.9,0
9/24/20,2,4,-7.9,0
9/24/20,2.059767144,4,-9.9,0
9/24/20,2.114742527,4,-11.9,0
9/24/20,1.189207115,4,7.7,0
9/24/20,1.414213562,4,5.7,0
9/24/20,1.56508458,4,3.7,0
9/24/20,1.681792831,4,1.7,0
9/24/20,1.77827941,4,-0.3,8
9/24/20,1.861209718,4,-2.3,19
9/24/20,1.93433642,4,-4.3,0
9/24/20,2,4,-6.3,0
9/24/20,2.059767144,4,-8.3,0
9/24/20,2.114742527,4,-10.3,0
9/24/20,1.189207115,4,9.8,0
9/24/20,1.414213562,4,7.8,0
9/24/20,1.56508458,4,5.8,0
9/24/20,1.681792831,4,3.8,0
9/24/20,1.77827941,4,1.8,0
9/24/20,1.861209718,4,-0.2,3
9/24/20,1.93433642,4,-2.2,4
9/24/20,2,4,-4.2,1
9/24/20,2.059767144,4,-6.2,0
9/24/20,2.114742527,4,-8.2,0
9/24/20,1.189207115,4,10.5,0
9/24/20,1.414213562,4,8.5,0
9/24/20,1.56508458,4,6.5,0
9/24/20,1.681792831,4,4.5,1
9/24/20,1.77827941,4,2.5,0
9/24/20,1.861209718,4,0.5,0
9/24/20,1.93433642,4,-1.5,18
9/24/20,2,4,-3.5,0
9/24/20,2.059767144,4,-5.5,0
9/24/20,2.114742527,4,-7.5,0